id,naslov,avtor,povprecna_ocena,st_ocen,score
5439,Interpreter of Maladies,Jhumpa Lahiri,4.13,140669,22.235
37380,The Heart Is a Lonely Hunter,Carson McCullers,3.97,82324,22.200
386187,Midnight in the Garden of Good and Evil,John Berendt,3.91,192107,22.090
11713,The English Patient,Michael Ondaatje,3.88,100211,22.055
821446,Tender is the Night,F. Scott Fitzgerald,3.83,97755,21.668
5148,A Separate Peace,John Knowles,3.56,174059,21.617
6952,Like Water for Chocolate,Laura Esquivel,3.94,300201,21.514
53835,The Age of Innocence,Edith Wharton,3.94,124919,21.350
3985,The Amazing Adventures of Kavalier and Clay,Michael Chabon,4.17,168791,21.318
12749,Swann's Way,Marcel Proust,4.14,36723,21.037
374233,If on a Winter's Night a Traveler,Italo Calvino,4.07,61661,20.779
629,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,Robert M. Pirsig,3.77,170605,20.651
4799,Cannery Row,John Steinbeck,4.03,98837,20.063
6192,Disgrace,J.M. Coetzee,3.84,70993,19.906
415,Gravity's Rainbow,Thomas Pynchon,4.03,31157,19.863
6689,James and the Giant Peach,Roald Dahl,4.00,322317,19.837
3087,A Room with a View,E.M. Forster,3.90,130277,19.760
227711,I Know This Much Is True,Wally Lamb,4.18,272565,19.623
30933,Brideshead Revisited: The Sacred and Profane Memories of Captain Charles Ryder,Evelyn Waugh,4.00,83854,19.568
426504,Ficciones,Jorge Luis Borges,4.46,40188,19.363
378,The Phantom Tollbooth,Norton Juster,4.21,208314,19.196
18521,A Room of One's Own,Virginia Woolf,4.12,86597,18.955
15196,Maus I: A Survivor's Tale: My Father Bleeds History,Art Spiegelman,4.34,218547,18.936
22328,Neuromancer,William Gibson,3.89,224599,18.848
2767,A People's History of the United States,Howard Zinn,4.08,154675,18.704
233093,The Cat in the Hat,Dr. Seuss,4.16,345979,18.654
15931,The Notebook,Nicholas Sparks,4.07,1148448,18.571
77390,Anne of Avonlea,L.M. Montgomery,4.22,118278,18.324
40024,The Alienist,Caleb Carr,4.06,121964,18.239
9375,Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,4.27,241957,18.129
10959,Sophie's World,Jostein Gaarder,3.90,161684,17.834
24800,House of Leaves,Mark Z. Danielewski,4.12,101392,17.513
15622,Native Son,Richard Wright,3.97,75253,17.345
8921,The Hound of the Baskervilles,Arthur Conan Doyle,4.10,202784,17.312
24861,Demian. Die Geschichte von Emil Sinclairs Jugend,Hermann Hesse,4.11,57642,17.216
6,Harry Potter and the Goblet of Fire,J.K. Rowling,4.54,2088537,17.167
2865,Girl with a Pearl Earring,Tracy Chevalier,3.86,552105,16.924
4137,Me Talk Pretty One Day,David Sedaris,3.98,555406,16.837
2839,Bridge to Terabithia,Katherine Paterson,3.98,386095,16.743
1845,Into the Wild,Jon Krakauer,3.96,751472,16.739
92307,Being and Time,Martin Heidegger,4.01,17335,16.679
527756,The Man Without Qualities,Robert Musil,4.24,4833,16.570
42697,Exodus,Leon Uris,4.34,84406,16.563
16634,The Glass Bead Game,Hermann Hesse,4.11,27408,16.406
35743,The Tin Drum,Günter Grass,3.96,34633,16.386
17717,Labyrinths:  Selected Stories and Other Writings,Jorge Luis Borges,4.46,25189,16.332
298275,Nausea,Jean-Paul Sartre,3.92,69181,16.320
27712,The Neverending Story,Michael Ende,4.18,136831,16.292
11297,Norwegian Wood,Haruki Murakami,4.03,258602,16.228
191139,"Oh, The Places You'll Go!",Dr. Seuss,4.35,281761,16.182
28676,American Psycho,Bret Easton Ellis,3.82,197982,16.166
16286,The Magus,John Fowles,4.05,41331,16.151
10956,The Virgin Suicides,Jeffrey Eugenides,3.84,205395,16.086
12395,Journey to the End of the Night,Louis-Ferdinand Céline,4.23,26624,15.887
101299,The Reader,Bernhard Schlink,3.74,152814,15.887
17841,Foucault's Pendulum,Umberto Eco,3.89,53220,15.652
4009,Nine Stories,J.D. Salinger,4.19,121220,15.496
32542,A Time to Kill,John Grisham,4.05,647062,15.480
373755,"Absalom, Absalom!",William Faulkner,3.96,34958,15.463
4948,The Very Hungry Caterpillar,Eric Carle,4.29,339752,15.390
8337,Little House in the Big Woods,Laura Ingalls Wilder,4.17,202967,15.118
588138,The Hero With a Thousand Faces,Joseph Campbell,4.22,24677,15.052
48328,Revolutionary Road,Richard Yates,3.90,70423,15.032
5527,All the King's Men,Robert Penn Warren,4.08,49716,14.929
46199,Letters to a Young Poet,Rainer Maria Rilke,4.33,38286,14.693
18765,"I, Claudius",Robert Graves,4.27,46649,14.680
10920,Cold Mountain,Charles Frazier,3.84,203084,14.672
76401,Bury My Heart at Wounded Knee: An Indian History of the American West,Dee Brown,4.22,49244,14.606
11899,The Hours,Michael Cunningham,3.93,116027,14.490
14497,Neverwhere,Neil Gaiman,4.17,353575,14.322
6319,The BFG,Roald Dahl,4.22,302095,14.279
122,The Power of One,Bryce Courtenay,4.34,68488,14.149
92517,The Glass Menagerie,Tennessee Williams,3.68,99641,14.076
5358,The Firm,Robin Waterfield,4.00,514660,14.013
18545,Rosencrantz and Guildenstern Are Dead,Tom Stoppard,4.06,74344,14.011
41804,"I, Robot",Isaac Asimov,4.18,231705,13.977
233818,Island of the Blue Dolphins,Scott O&#39;Dell,3.81,260412,13.928
38709,Holes,Louis Sachar,3.94,845618,13.708
11337,The Bluest Eye,Toni Morrison,4.00,132242,13.701
27323,Hiroshima,John Hersey,3.95,49959,13.612
251688,Breakfast at Tiffany's,Truman Capote,3.89,184829,13.573
187181,The Chosen,Chaim Potok,4.04,77725,13.271
45195,A Passage to India,E.M. Forster,3.68,59532,13.100
27333,Silent Spring,Rachel Carson,3.95,28395,13.091
278097,"Foundation / Foundation and Empire / Second Foundation / The Stars, Like Dust / The Naked Sun / I, Robot",Isaac Asimov,4.35,3470,12.865
48464,A Good Man is Hard to Find and Other Stories,Flannery O&#39;Connor,4.24,34084,12.816
31196,The Razor's Edge,W. Somerset Maugham,4.18,31732,12.657
18423,The Left Hand of Darkness,Ursula K. Le Guin,4.06,90570,12.657
457264,The Second Sex,Simone de Beauvoir,4.11,24012,12.515
77142,Snow Falling on Cedars,David Guterson,3.82,151407,12.503
11901,The Witching Hour,Anne Rice,4.11,93954,12.372
30868,The Bean Trees,Barbara Kingsolver,3.96,123665,12.363
84369,The Last Battle,C.S. Lewis,4.03,190072,12.362
682804,The Killer Angels,Michael Shaara,4.31,68231,12.300
6150,"Cry, the Beloved Country",Alan Paton,3.88,58597,12.220
10979,Light in August,William Faulkner,3.94,47914,12.204
2794,The Crying of Lot 49,Thomas Pynchon,3.70,59885,12.128
19691,The Hunt for Red October,Tom Clancy,4.04,300850,11.944
616828,Heart of Darkness and The Secret Sharer,Joseph Conrad,3.49,15678,11.894
43035,White Fang,Jack London,3.96,127017,11.757
249,Tropic of Cancer,Henry Miller,3.71,54563,11.645
7354,The Shipping News,Annie Proulx,3.85,119128,11.621
78433,The Blind Assassin,Margaret Atwood,3.96,121496,11.573
5308,The Pearl,John Steinbeck,3.44,163648,11.532
776407,The House at Pooh Corner,A.A. Milne,4.36,74052,11.382
29999,The Maltese Falcon,Dashiell Hammett,3.92,74522,11.279
46799,Go Ask Alice,Beatrice Sparks,3.76,216515,11.238
248596,Something Wicked This Way Comes,Ray Bradbury,3.95,81540,11.187
375013,Schindler's List,Thomas Keneally,4.34,117970,11.184
4953,A Heartbreaking Work of Staggering Genius,Dave Eggers,3.68,157728,11.171
29579,Foundation,Isaac Asimov,4.15,341354,11.054
11762,White Noise,Don DeLillo,3.86,77254,11.048
439288,Speak,Laurie Halse Anderson,4.01,410149,10.933
39662,Different Seasons,Stephen King,4.35,152194,10.881
6327,The Witches,Roald Dahl,4.17,263356,10.659
5954,Narcissus and Goldmund,Hermann Hesse,4.20,37122,10.656
480204,The Phantom of the Opera,Gaston Leroux,3.97,175956,10.499
12781,The Satanic Verses,Salman Rushdie,3.71,47100,10.498
43615,The Gunslinger,Stephen King,3.97,436123,10.473
11334,Song of Solomon,Toni Morrison,4.03,71305,10.470
2666,The Bonfire of the Vanities,Tom Wolfe,3.84,61065,10.434
7714,Pygmalion,George Bernard Shaw,3.90,80411,10.424
22904,The Complete Stories,Franz Kafka,4.35,21984,10.387
37732,"Are You There God? It's Me, Margaret",Judy Blume,3.90,171327,10.349
32071,Sons and Lovers,D.H. Lawrence,3.62,41959,10.318
1848,Wild Swans: Three Daughters of China,Jung Chang,4.24,75768,10.182
227443,Bridget Jones's Diary,Helen Fielding,3.76,817187,9.986
781787,Out of Africa,Isak Dinesen,3.96,28766,9.891
35519,The Power of Myth,Joseph Campbell,4.30,37700,9.657
62291,A Storm of Swords,George R.R. Martin,4.54,578355,9.603
11991,The Fall,Albert Camus,4.06,57065,9.550
93405,The Notebooks of Malte Laurids Brigge,Rainer Maria Rilke,4.05,6105,9.389
529626,Sometimes a Great Notion,Ken Kesey,4.25,17812,9.330
136116,The Scarlet Pimpernel,Emmuska Orczy,4.07,109116,9.307
420282,The Polar Express,Chris Van Allsburg,4.30,193261,9.228
6295,Howl and Other Poems,Allen Ginsberg,4.14,83379,9.224
53639,Zorba the Greek,Nikos Kazantzakis,4.09,28718,9.218
292408,Angle of Repose,Wallace Stegner,4.27,46222,9.193
667,Anthem,Ayn Rand,3.62,116782,9.171
191940,The Man Without Qualities: Vol. 1,Robert Musil,4.36,2452,9.167
32067,Lady Chatterley's Lover,D.H. Lawrence,3.50,85508,9.146
43814,The Vampire Lestat,Anne Rice,4.06,160414,9.044
19321,The Tale of Peter Rabbit,Beatrix Potter,4.17,181125,9.020
469571,All the Pretty Horses,Cormac McCarthy,3.98,81850,8.957
175675,Ragtime,E.L. Doctorow,3.88,33586,8.903
85386,"Rabbit, Run",John Updike,3.58,46623,8.876
3698,The Quiet American,Graham Greene,3.96,38796,8.795
11590,'Salem's Lot,Stephen King,4.00,276149,8.793
56034,The French Lieutenant's Woman,John Fowles,3.86,42230,8.656
19302,Pippi Longstocking,Astrid Lindgren,4.12,143882,8.639
3869,A Brief History of Time,Stephen Hawking,4.15,222433,8.631
46201,The Selected Poetry of Rainer Maria Rilke,Rainer Maria Rilke,4.40,12157,8.609
29641,The End of the Affair,Graham Greene,3.95,40119,8.597
801754,The Decline of the West,Oswald Spengler,4.06,1203,8.537
38180,On the Beach,Nevil Shute,3.93,30524,8.536
10614,Misery,Stephen King,4.14,403642,8.517
65605,The Magician's Nephew,C.S. Lewis,4.03,338053,8.496
46114,The Waves,Virginia Woolf,4.15,22296,8.410
140225,The Voyage of the Dawn Treader,C.S. Lewis,4.09,352439,8.386
6424171,Jurassic Park,Michael Crichton,3.99,707098,8.381
11566,The Green Mile,Stephen King,4.43,212217,8.374
460635,The Bone People,Keri Hulme,4.06,17759,8.329
130580,Old Yeller,Fred Gipson,4.07,77033,8.316
164154,A Canticle for Leibowitz,Walter M. Miller Jr.,3.98,79859,8.277
7805,Pale Fire,Vladimir Nabokov,4.20,34220,8.236
50833,Valley of the Dolls,Jacqueline Susann,3.72,42495,8.226
902,The Westing Game,Ellen Raskin,4.03,138402,8.212
13033,The Alexandria Quartet,Lawrence Durrell,4.17,10397,8.175
7437,Naked Lunch,William S. Burroughs,3.45,66498,8.057
32499,The Pelican Brief,John Grisham,3.97,322377,8.050
331319,An American Tragedy,Theodore Dreiser,3.94,28919,8.029
43945,Portnoy's Complaint,Philip Roth,3.70,48373,8.008
10572,A Clash of Kings,George R.R. Martin,4.41,674391,7.952
2052,The Big Sleep,Raymond Chandler,4.02,102899,7.839
40651883,Snow Crash,Neal Stephenson,4.03,206393,7.825
50365,A Suitable Boy,Vikram Seth,4.11,38107,7.758
11650,American Pastoral,Philip Roth,3.92,52080,7.746
14249,Prodigal Summer,Barbara Kingsolver,3.99,86293,7.680
70561,The Gulag Archipelago 1918-1956,Aleksandr Solzhenitsyn,4.20,14887,7.669
16690,The Moon is a Harsh Mistress,Robert A. Heinlein,4.17,94554,7.596
10592,Carrie,Stephen King,3.94,422376,7.590
17961,Collected Fictions,Jorge Luis Borges,4.59,17792,7.561
228665,The Eye of the World,Robert Jordan,4.19,312478,7.542
32085,All Creatures Great and Small,James Herriot,4.32,103252,7.485
16735,The Prince of Tides,Pat Conroy,4.23,176819,7.471
13642,A Wizard of Earthsea,Ursula K. Le Guin,4.00,189665,7.435
16328,The Murder of Roger Ackroyd,Agatha Christie,4.22,105785,7.412
11987,The Myth of Sisyphus and Other Essays,Albert Camus,4.19,34651,7.334
121749,Prince Caspian,C.S. Lewis,3.97,298305,7.266
9809,Invisible Cities,Italo Calvino,4.19,46301,7.232
84119,The Horse and His Boy,C.S. Lewis,3.91,230602,7.169
1898,Into Thin Air: A Personal Account of the Mount Everest Disaster,Jon Krakauer,4.13,326847,7.043
11507,My Name Is Asher Lev,Chaim Potok,4.20,32936,7.014
9998,The Woman in the Dunes,Kōbō Abe,3.91,16556,7.007
138959,Stuart Little,E.B. White,3.89,97218,6.941
23522,Mythology: Timeless Tales of Gods and Heroes,Edith Hamilton,3.99,39069,6.926
414999,Childhood's End,Arthur C. Clarke,4.10,109204,6.867
5805,V for Vendetta,Alan Moore,4.25,232841,6.819
51606,Johnny Got His Gun,Dalton Trumbo,4.17,30460,6.777
12201,Stopping by Woods on a Snowy Evening,Robert Frost,4.39,8962,6.770
34053,Just So Stories,Rudyard Kipling,4.09,41606,6.763
3102,Howards End,E.M. Forster,3.96,66665,6.687
12658,Hawaii,James A. Michener,4.19,65743,6.656
5472,Animal Farm / 1984,George Orwell,4.28,140659,6.654
8737,The Last Temptation of Christ,Nikos Kazantzakis,4.15,10629,6.596
31122,I Capture the Castle,Dodie Smith,4.00,72632,6.570
4865,How to Win Friends and Influence People,Dale Carnegie,4.17,400808,6.564
50181,"F. Scott Fitzgerald: The Great Gatsby: Essays, Articles, Reviews",Nicolas Tredell,3.80,2984,6.563
47281,Number the Stars,Lois Lowry,4.13,376143,6.537
38169,"Alas, Babylon",Pat Frank,4.07,34619,6.489
4631,A Moveable Feast,Ernest Hemingway,4.04,100142,6.469
9592,Mother Night,Kurt Vonnegut,4.21,65592,6.454
5246,Ethan Frome,Edith Wharton,3.38,95694,6.425
6259,Birdsong,Sebastian Faulks,4.08,60523,6.387
4982,The Sirens of Titan,Kurt Vonnegut,4.16,95696,6.319
310146,The True Confessions of Charlotte Doyle,Avi,3.82,74102,6.279
3388,Corelli's Mandolin,Louis de-Bernières,3.96,69253,6.278
76889,100 Selected Poems,E.E. Cummings,4.31,24645,6.244
7629,The Good Soldier Švejk,Jaroslav Hašek,4.11,12590,6.238
119324,The Subtle Knife,Philip Pullman,4.12,300932,6.233
8682,Jitterbug Perfume,Tom Robbins,4.24,59485,6.169
13872,Geek Love,Katherine Dunn,3.98,48416,6.155
862041,Harry Potter Series Box Set,J.K. Rowling,4.74,222743,6.139
12967,Winter's Tale,Mark Helprin,3.50,24656,6.131
98573,Harold and the Purple Crayon,Crockett Johnson,4.25,114967,6.129
18122,The Amber Spyglass,Philip Pullman,4.08,242374,6.112
61666,Contact,Carl Sagan,4.12,106509,6.003
13651,The Dispossessed,Ursula K. Le Guin,4.20,66721,5.976
334176,The Sparrow,Mary Doria Russell,4.17,50123,5.964
767171,The Rise and Fall of the Third Reich: A History of Nazi Germany,William L. Shirer,4.16,80994,5.934
5517,A Raisin in the Sun,Lorraine Hansberry,3.74,56431,5.933
24337,Ella Enchanted,Gail Carson Levine,3.97,363811,5.897
60792,The Accidental Tourist,Anne Tyler,3.91,88226,5.890
21484,The Winds of War,Herman Wouk,4.37,47033,5.878
107301,A Town Like Alice,Nevil Shute,4.13,44178,5.865
24113,"Gödel, Escher, Bach: An Eternal Golden Braid",Douglas R. Hofstadter,4.29,36982,5.797
11013,Finnegans Wake,James Joyce,3.67,10787,5.766
243705,The Collector,John Fowles,3.99,43262,5.723
431,The New York Trilogy,Paul Auster,3.92,49011,5.605
46654,The Foundation Trilogy,Isaac Asimov,4.40,81036,5.506
393199,Down and Out in Paris and London,George Orwell,4.10,47559,5.482
96123,All the President's Men,Carl Bernstein,4.18,39950,5.448
10583,Pet Sematary,Stephen King,3.94,324520,5.342
6174,Survival in Auschwitz,Primo Levi,4.29,36924,5.339
2247142,The Talented Mr. Ripley,Patricia Highsmith,3.93,43635,5.308
77163,Stones from the River,Ursula Hegi,4.08,86807,5.301
17214,Starship Troopers,Robert A. Heinlein,4.00,163877,5.289
172732,The Motorcycle Diaries: Notes on a Latin American Journey,Ernesto Che Guevara,3.79,26030,5.242
368916,"84, Charing Cross Road",Helene Hanff,4.19,33893,5.225
284996,The Complete Stories,Flannery O&#39;Connor,4.44,31524,5.115
